,random_forest,xgboost,svm,fully_connected_NN,knn,stacked,ID
0,0.8415928979589509,0.8928178339444885,0.9034178233942207,0.890294145741969,0.9169986199109215,0.9259608228638558,0
1,0.8387829981009518,0.8940107983416119,0.9032677672211735,0.8925342954987425,0.916251012255419,0.9231241909085206,1
2,0.8430981133840797,0.8916277380880777,0.8987972795662276,0.8871661554158062,0.9129779750010582,0.9229875762699404,2
3,0.8410214769914837,0.8956716321488798,0.9044747259405791,0.8873370179038047,0.9158122428430449,0.9271626802465588,3
4,0.8404226785980811,0.8922305462921504,0.90417443567484,0.8906223894461783,0.9102865009723791,0.9213411034553429,4
5,0.8433994530969313,0.8971667897531237,0.902682512503493,0.8964475181207977,0.9150617903519227,0.9249200532075665,5
6,0.8387642856328165,0.8892330596917041,0.9043112100871966,0.8973179152100644,0.9159492959834845,0.9235711515759819,6
7,0.8359406013379402,0.8889469568878523,0.8958139804276686,0.8885203575860049,0.9087952969376185,0.9176077469542147,7
8,0.8422159550366564,0.8947725434897382,0.9061131791338364,0.8863951579308487,0.9156654392190671,0.9249249831253801,8
9,0.8437089412094925,0.8973069666005048,0.9061109514612418,0.8873067215565194,0.9153638123497714,0.9234364522977329,9
