,ID,model,score
0,0,random_forest,0.8415928979589509
1,1,random_forest,0.8387829981009518
2,2,random_forest,0.8430981133840797
3,3,random_forest,0.8410214769914837
4,4,random_forest,0.8404226785980811
5,5,random_forest,0.8433994530969313
6,6,random_forest,0.8387642856328165
7,7,random_forest,0.8359406013379402
8,8,random_forest,0.8422159550366564
9,9,random_forest,0.8437089412094925
10,0,xgboost,0.8928178339444885
11,1,xgboost,0.8940107983416119
12,2,xgboost,0.8916277380880777
13,3,xgboost,0.8956716321488798
14,4,xgboost,0.8922305462921504
15,5,xgboost,0.8971667897531237
16,6,xgboost,0.8892330596917041
17,7,xgboost,0.8889469568878523
18,8,xgboost,0.8947725434897382
19,9,xgboost,0.8973069666005048
20,0,svm,0.9034178233942207
21,1,svm,0.9032677672211735
22,2,svm,0.8987972795662276
23,3,svm,0.9044747259405791
24,4,svm,0.90417443567484
25,5,svm,0.902682512503493
26,6,svm,0.9043112100871966
27,7,svm,0.8958139804276686
28,8,svm,0.9061131791338364
29,9,svm,0.9061109514612418
30,0,fully_connected_NN,0.890294145741969
31,1,fully_connected_NN,0.8925342954987425
32,2,fully_connected_NN,0.8871661554158062
33,3,fully_connected_NN,0.8873370179038047
34,4,fully_connected_NN,0.8906223894461783
35,5,fully_connected_NN,0.8964475181207977
36,6,fully_connected_NN,0.8973179152100644
37,7,fully_connected_NN,0.8885203575860049
38,8,fully_connected_NN,0.8863951579308487
39,9,fully_connected_NN,0.8873067215565194
40,0,knn,0.9169986199109215
41,1,knn,0.916251012255419
42,2,knn,0.9129779750010582
43,3,knn,0.9158122428430449
44,4,knn,0.9102865009723791
45,5,knn,0.9150617903519227
46,6,knn,0.9159492959834845
47,7,knn,0.9087952969376185
48,8,knn,0.9156654392190671
49,9,knn,0.9153638123497714
50,0,stacked,0.9259608228638558
51,1,stacked,0.9231241909085206
52,2,stacked,0.9229875762699404
53,3,stacked,0.9271626802465588
54,4,stacked,0.9213411034553429
55,5,stacked,0.9249200532075665
56,6,stacked,0.9235711515759819
57,7,stacked,0.9176077469542147
58,8,stacked,0.9249249831253801
59,9,stacked,0.9234364522977329
