,number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,params_max_iter,params_positive,params_tol,state
32,32,26038.543913967045,2024-03-30 15:13:17.540920,2024-03-30 15:13:17.559922,0 days 00:00:00.019002,0.17196100864438163,0.9137152301235119,568,False,3.362756683283639e-05,COMPLETE
33,33,26037.702823810167,2024-03-30 15:13:17.561652,2024-03-30 15:13:17.580511,0 days 00:00:00.018859,0.25002898850247457,0.9225097686336162,449,False,7.108204603658521e-05,COMPLETE
34,34,24392.49055850634,2024-03-30 15:13:17.581988,2024-03-30 15:13:17.600105,0 days 00:00:00.018117,0.2682957791961753,0.8685981880037964,749,False,7.677460747555931e-05,PRUNED
35,35,26612.449657318568,2024-03-30 15:13:17.601827,2024-03-30 15:13:17.621757,0 days 00:00:00.019930,0.21711214495928524,0.927673836908423,492,True,7.498537859713825e-05,PRUNED
36,36,26193.560265637432,2024-03-30 15:13:17.623194,2024-03-30 15:13:17.646158,0 days 00:00:00.022964,0.4244639716559926,0.8641319208454059,420,False,4.055229407687444e-05,PRUNED
37,37,26053.315378710813,2024-03-30 15:13:17.648115,2024-03-30 15:13:17.677061,0 days 00:00:00.028946,0.05760548640646945,0.9438378975741367,747,False,5.329190948087768e-05,COMPLETE
38,38,26607.219125866977,2024-03-30 15:13:17.678688,2024-03-30 15:13:17.698621,0 days 00:00:00.019933,0.3123557577919368,0.6880527772912489,1217,True,4.2839055681840216e-05,PRUNED
39,39,26201.732712000095,2024-03-30 15:13:17.700034,2024-03-30 15:13:17.716945,0 days 00:00:00.016911,0.3852656660297531,0.8009598606436162,369,False,6.718358647380497e-05,PRUNED
40,40,24378.559126112057,2024-03-30 15:13:17.718202,2024-03-30 15:13:17.735467,0 days 00:00:00.017265,0.23562776795495277,0.8866100608140145,614,False,9.778801309024016e-05,PRUNED
41,41,26037.579459370227,2024-03-30 15:13:17.736976,2024-03-30 15:13:17.756003,0 days 00:00:00.019027,0.16612066100455697,0.9221441164439784,234,False,2.2769349438977857e-05,COMPLETE
